FIRST,SECOND,THIRD,FOURTH,FIFTH
Sasha,/,/,/,/
Tcharskaya,/,/,/,/
Raphael,/,/,/,/
Komissarov,/,/,/,/
Sitnikov,/,/,/,/
Alexander Nevsky,/,/,/,/
Andrey Pervozvanny,/,/,/,/
Skorodumov,/,/,/,/
Sorokina,/,/,/,/
Malthus,/,/,/,/
Gretchen,/,/,/,/
Hilustov,/,/,/,/
Marya Borissovna,/,/,/,/
Sokolov,/,/,/,/
Johann Bach,Bach,/,/,/
Gagin,/,/,/,/
Vorkuev,/,/,/,/
Pasha,/,/,/,/
Mitin,/,/,/,/
Volgarinov,/,/,/,/
"	Bryantsev",/,/,/,/
Gambetta,/,/,/,/
Drabanti,/,/,/,/
King Milan,Milan,/,/,/
Spinoza,/,/,/,/
Immanuel Kant,Kant,/,/,/
Schelling,/,/,/,/
Arthur Schopenhauer,Schopenhauer,/,/,/
Aleksey Khomyakov,Khomyakov,/,/,/
